SizeRank,RegionID,RegionName,RegionType,StateName,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
1,3101,Los Angeles County,County,CA,0.9656837672919318,0.9608381969984443,0.9675539514249192,0.9714285714285714,0.9728997289972899,0.9702660406885759,0.9717868338557993,0.9676839173822233,0.9617234083477592,0.9583333333333334,0.9531772575250836,0.9481000481000481,0.9489973320183491,0.9426229508196722,0.9482107005983667,0.9523809523809523,0.9553251155624037,0.9545584452700772,0.9538307074451653,0.9527934170636639,0.9457523426004801,0.9490940465918896,0.9473684210526315,0.9488711466659396,0.9460154241645244,0.9519862778730703,0.9520789538541833,0.9582703139807764,0.9692307692307692,0.974910394265233,0.978891820580475,0.97868638538495,0.9824937477670597,0.9836612204068023,0.9859154929577465,0.9857091800265496,0.9924881525983124,1,1,1,1.000615763546798,1.0031222652762362,1.0003847633705272,1,1,1,0.9879406307977736,0.9866220735785953,0.9818181818181818,0.9841966515585977,0.9888268156424581,0.9892928571428572,0.9911380597014925,0.9901237654706838,0.989010989010989,0.9848307979145775,0.9799789251844047,0.9789473684210527,0.9761391037158011,0.9746478873239437,0.9731663685152058,0.9789952456586614,0.9833333333333333,0.9900022000048889,0.9928057553956835,0.9952454507779829,0.9912484372209323,0.9922928709055877,0.9899441340782122,0.9852941176470589,0.9841269841269841,0.984375,0.9818451278251205,0.9850746268656716,0.9908536585365854,0.9954337899543378,1,1,1,0.9998601307189543,0.9922346850733391,0.9888579387186629,0.9884615384615385,0.9845559845559846,0.9831932773109243,0.986499213773455,0.9941038303486268,1,1,1,1,1,1,0.9985903308034011,0.9951877412977281,0.9918200408997955,0.9928544906010676,1,1,1,1,1,1,0.9995878459963532,0.9893992932862191,0.9859705210828806,0.9799679487179487,0.9743589743589743,0.9725925888330026,0.976830240466604,0.9824937477670597
2,139,Cook County,County,IL,0.8883769455787067,0.8794812680115274,0.8803418803418803,0.884887741568776,0.8964401294498382,0.9071009731111035,0.9008234313112362,0.9054537797431038,0.9078545981700081,0.8910162002945509,0.8937380979052313,0.8790022683155576,0.868958818958819,0.8862380963972616,0.8836178394277401,0.8761686325906509,0.9007096632817388,0.9007194244604316,0.9003001000333445,0.9006928406466512,0.8868637474994443,0.8860867048207957,0.8772077922077922,0.8793969849246231,0.879423606696334,0.870748195120955,0.8717434869739479,0.8934953538241601,0.9051929490233445,0.9183673469387755,0.9216710182767625,0.920147223555769,0.9230769230769231,0.920147223555769,0.9181871689228959,0.9177215189873418,0.9112426035502958,0.9174311926605505,0.9237411539924131,0.9309151652547429,0.944549394377153,0.9542743578015067,0.9574164046870535,0.9559748427672956,0.956564177647633,0.9541284403669725,0.9475608143839238,0.9436698717948717,0.9452054794520548,0.9423769507803121,0.9383966142227476,0.9518848405301679,0.958904109589041,0.9611298189355901,0.9591836734693877,0.958904109589041,0.9519038076152304,0.9447943682845499,0.9392265193370166,0.9343696027633851,0.9284116331096197,0.9288315370830705,0.936078804466475,0.9483870967741935,0.9597958397055715,0.9631922828551834,0.9583333333333334,0.9555555555555556,0.9499725977347461,0.945557147405285,0.9418537024039745,0.9384930643127365,0.9297658862876255,0.9348310463659149,0.9453735831598427,0.9568345323741008,0.9625066172784875,0.9642571352360629,0.9629814907453726,0.96045197740113,0.9549795361527967,0.9511568123393316,0.9454838654032245,0.9402985074626866,0.9393939393939394,0.9423735970360685,0.9523809523809523,0.9625971257441512,0.9686247759676858,0.967991995997999,0.9674699569436411,0.9615384615384616,0.9568965517241379,0.9534246575342465,0.9489714740311399,0.9443678115238617,0.9395941347301655,0.9411764705882353,0.9573946834534877,0.9676286949307951,0.9688581314878892,0.968421052631579,0.9652413103275819,0.96,0.9550561797752809,0.9514312898036852,0.9440559440559441,0.9380777603488519,0.9309524427355724,0.9390632105502501,0.9502794939688144
3,1090,Harris County,County,TX,0.9429058244700095,0.9369398430498175,0.9527962382445141,0.9537531276063386,0.9634758064516129,0.9588756849417612,0.9389307692307692,0.9465379821616513,0.9445375,0.9203871829105474,0.9179090909090909,0.9180555555555555,0.9033184921341645,0.9222511887328018,0.9146483870967742,0.9298201973867111,0.9146136168179646,0.9132446785225719,0.9106380952380952,0.9194125242091672,0.9128140739069723,0.9238854919399666,0.9156960873521383,0.9231241134751773,0.9110653266331659,0.9318181818181818,0.9228659632191065,0.9217686318131257,0.9370158343483557,0.9527530864197531,0.9465009683666882,0.9504772507932931,0.9501037421267136,0.9379720754716981,0.9423943661971831,0.9350674846625767,0.9413673288802347,0.9305923076923077,0.9497836279755572,0.948363208782983,0.9574436549947372,0.9556605363128492,0.9587802947265863,0.9535714285714286,0.9592704905278717,0.9562069670821349,0.9417053976347012,0.9418802151735459,0.9428208791208791,0.9505081865420438,0.9534615384615385,0.9653670162059104,0.9708213781698669,0.9761401617250673,0.9720384615384615,0.9878670109748224,0.96875,0.957977653631285,0.9535857675111774,0.9631667533797454,0.9805673044645854,0.9709772727272727,0.9709217626385509,0.9732702915681639,0.9830944559161547,0.978436018957346,0.9749303621169917,0.9739662162162163,0.9675429390997352,0.9596670792290855,0.9588295225491927,0.9573770491803278,0.9571515479233577,0.9567460039788709,0.9629257776789464,0.9732138728323699,0.9713881194213604,0.9740895479567502,0.9760599289114801,0.9744135297326786,0.9617834394904459,0.9461649064663427,0.9538679245283019,0.95,0.9466666666666667,0.9492859044885076,0.96,0.9603709340135185,0.9682915009041592,0.9662664379645511,0.97000194000388,0.9621636234227842,0.9547738693467337,0.9587628865979382,0.9588523971309928,0.9552308896425776,0.9590612244897959,0.9548436954308686,0.9600650935720098,0.9686590909090909,0.9721064462806248,0.9693558474046279,0.9671362078841848,0.9626561403508772,0.9619689555175807,0.9539320614239181,0.9501551674788276,0.9461168950008201,0.9512257178575915,0.9585853885528153,0.9563498181818182
4,2402,Maricopa County,County,AZ,0.93124659111569,0.9309868875086267,0.924750213885585,0.9263480787859218,0.9333333333333333,0.9321637426900585,0.9296632147627291,0.9268874880188749,0.925,0.9152830991911451,0.9198675496688742,0.9062726568164204,0.9120227038183695,0.9032846357486028,0.9031568923499083,0.9178326810176125,0.9270440251572327,0.9372183092557367,0.9523809523809523,0.956,0.950950950950951,0.9610245810880638,0.9591836734693877,0.9555555555555556,0.9556608741442865,0.9555984555984556,0.9643857543017207,0.9689922480620154,0.9781357882623706,0.9851470142467414,0.9848123021257349,0.9872067648663394,0.9841534612176814,0.979381443298969,0.9777777777777777,0.9714285714285714,0.9691358024691358,0.9663540150136487,0.9706774519716885,0.9712436946994129,0.972972972972973,0.976,0.9755105386026346,0.9770114942528736,0.9722183631255595,0.9671456912673413,0.962533422459893,0.958904109589041,0.9565217391304348,0.9585558856159774,0.9571428571428572,0.9560400285918513,0.9562178072111847,0.9585996110030564,0.9571428571428572,0.9555942533739661,0.9591836734693877,0.95582176564683,0.9565217391304348,0.9581577271377861,0.955794504181601,0.9616453585325181,0.9653024911032029,0.9690578066792369,0.9709690074539035,0.9708654646324549,0.9727272727272728,0.9727417024422456,0.9712230215827338,0.9699103045473508,0.9695103056481524,0.9684684684684685,0.9673366834170855,0.9680425531914894,0.9711595055915244,0.9723076923076923,0.9725490196078431,0.9732620320855615,0.9734277913763887,0.9736842105263158,0.9729395260964941,0.9717073170731707,0.9714111210304524,0.9705882352941176,0.9688646201882501,0.9724324324324324,0.974477958236659,0.9760479041916168,0.9762335087636526,0.9772727272727273,0.9771986970684039,0.9767696475509329,0.9753704989724002,0.9761904761904762,0.9745843342282512,0.9729702702702703,0.9733196440793976,0.9758768934782995,0.9791666666666666,0.9809523809523809,0.9818181818181818,0.981616414402708,0.9818181818181818,0.98,0.9772727272727273,0.9787234042553191,0.9753846153846154,0.9737569060773481,0.9726027397260274,0.9734693877551021,0.9752438109527382
5,2841,San Diego County,County,CA,0.9574005147862157,0.965034965034965,0.9684509630122463,0.9665754176439458,0.9720930232558139,0.9624413145539906,0.9649258135010927,0.9631413224671236,0.9531772575250836,0.9484482909345222,0.9408602150537635,0.9440559440559441,0.9412872102600306,0.9376965657920606,0.9453053328546928,0.9384864326611899,0.9498525073746312,0.9412669915362913,0.9408536440929647,0.9417040358744395,0.9454545454545454,0.9383540926410752,0.9369865776977978,0.935251798561151,0.9386733416770964,0.9414511528121519,0.9524565501704729,0.9595277095277095,0.9626022638039744,0.9686274509803922,0.9702660406885759,0.9719368561684774,0.9747634069400631,0.973741794310722,0.9742857142857143,0.9804826866108203,0.9829704223500975,0.9861111111111112,0.9887323049577859,0.9987077003579361,0.997872340425532,1,1,0.9882005899705014,0.978865406006674,0.9724238026124818,0.96875,0.9653879093205976,0.9617998740396253,0.9695942475603493,0.9719438877755511,0.9733333333333334,0.9739959993845207,0.9735234540364612,0.970873786407767,0.9679572763684913,0.9618537545086895,0.9595194173594308,0.9576857325642203,0.9559843864822821,0.9576671527989418,0.9640102827763496,0.9713701431492843,0.9769391186028986,0.9765165441176471,0.9819639278557114,0.9793510324483776,0.9764705882352941,0.977022392301054,0.9708960677380586,0.9733036707452726,0.9711560828099558,0.9733333333333334,0.974025974025974,0.9807460611677479,0.9863221568586692,0.984930032292788,0.9877529286474973,0.9864864864864865,0.9824745469823809,0.978494623655914,0.9772382397572079,0.9772237611572792,0.9739776951672863,0.9744990892531876,0.9818910548369466,0.9888423771805606,0.9914792230990409,0.9921821108300759,0.992,0.9876973360590773,0.9849495141931797,0.9833024118738405,0.9790209790209791,0.9788435395751771,0.9775578077360445,0.9794871794871794,0.9882179420440742,0.989010989010989,0.9908592321755028,0.9881422924901185,0.9888579387186629,0.9850915267031516,0.9787234042553191,0.9728135008622814,0.9655172413793104,0.9636363636363636,0.9574468085106383,0.9603024574669187,0.9656578352970988,0.9745295866558308
6,1286,Orange County,County,CA,0.9562122519413288,0.9455782312925171,0.9635811836115327,0.967741935483871,0.9646017699115044,0.9659612846328225,0.9635226581508516,0.958904109589041,0.953880348212632,0.9511568123393316,0.945872701970263,0.9382716049382716,0.9425287356321839,0.9363057324840764,0.9413369713506139,0.9455587392550143,0.9444444444444444,0.9448908573236318,0.944954128440367,0.9396853146853147,0.9372764663805436,0.9394940709251594,0.9372197309417041,0.9348914858096828,0.9389975318017847,0.9410029498525073,0.9489666807254323,0.9602194787379973,0.9597378277153558,0.9733923303834808,0.9730536506655909,0.9775319227460897,0.974339120680584,0.9790111283279335,0.978494623655914,0.985119124110103,0.9883261412673178,0.9878419452887538,0.9945652173913043,1,1,1,1,0.9885645914244243,0.9840783331668959,0.9728183118741058,0.9707483168259503,0.9666666666666667,0.9652173913043478,0.972972972972973,0.9757889778615167,0.9799979897477133,0.9781304173889852,0.9769672855879752,0.9743732510993091,0.9688482423549586,0.9687010954616588,0.9619047619047619,0.9619238476953907,0.9615384615384616,0.9629281700676722,0.969609923823889,0.9770771080862213,0.9811465948441709,0.983264421141775,0.984375,0.9839357429718876,0.9799589558804404,0.9780645161290322,0.9711538461538461,0.9680961482094173,0.9702704292057573,0.9702970297029703,0.9760522496371553,0.9832935560859188,0.9849749582637729,0.9860175413785175,0.9844457213132932,0.9853423781977946,0.9785714285714285,0.9783999397907729,0.9746045574890815,0.9739695087521174,0.9744897959183674,0.975177304964539,0.979765708200213,0.9875846501128668,0.9910030120331733,0.9907170294494239,0.9907407407407407,0.9883925707320202,0.9846153846153847,0.9823269513991163,0.9807729656243931,0.981294964028777,0.9797251326711117,0.9799106141911182,0.9862220316519841,0.9919685039370079,0.9930915371329879,0.9927733404955119,0.989247311827957,0.9854647286304841,0.981325281499654,0.9738043252235392,0.9714285714285714,0.9655172413793104,0.9626797564254485,0.9613523493145838,0.9682804674457429,0.9740932642487047
7,581,Kings County,County,NY,0.9018203611336659,0.923295985060691,0.8670520231213873,0.9306666666666666,0.9207235798159314,0.9197218425676995,0.9195253833269812,0.9154929577464789,0.8397994987468671,0.8970775426058274,0.9171974522292994,0.9066901408450704,0.9143850808240325,0.9265822784810127,0.9212283044058746,0.924130579613591,0.9262479573274134,0.919732441471572,0.9384615384615385,0.9442896935933147,0.9224719254577798,0.9019607843137255,0.9053254437869822,0.9272918861959958,0.8983772154400338,0.8977955911823647,0.9139784946236559,0.919732441471572,0.8934953538241601,0.9410972948832879,0.9376,0.9313154831199069,0.9480326592854986,0.9486166007905138,0.9205746790810159,0.8981069042316259,0.93687374749499,0.93615385944004,0.9238095238095239,0.9599332220367279,0.9647058823529412,0.977564499484004,0.9664779660857232,0.979381443298969,1,0.9748332322619769,0.9663850486431131,0.9538916995235565,0.9817351598173516,0.956506920798925,0.9625112917795844,0.9724238026124818,0.9748551106427819,0.985985985985986,0.9823182711198428,0.9859161025605512,0.9864460275949138,0.980520753923057,0.9688195991091314,0.9690526204829446,0.9800039925472451,0.96939959354147,0.9679135209334249,0.9695979401861755,0.9790160363366703,0.9882352941176471,1,0.98,0.9966666666666666,0.9807692307692307,0.9786383194128069,0.9709090909090909,0.9770949720670391,0.9718330108552925,0.9773584905660377,0.9661201065792171,0.9709762532981531,0.9857985159211842,0.9806451612903225,0.9836065573770492,0.9783993783993784,0.9814730078836236,0.96875,0.9733036707452726,0.9736293097137838,0.9707246071605584,0.9672220783331895,0.9689903846153847,0.9795479009687836,0.9745222929936306,0.9834454409566518,0.9879839786381842,0.9844859163402537,0.9733036707452726,0.9623310810810811,0.9774066341916028,0.9697154976402926,0.964712896653086,0.9737986270022884,0.9821428571428571,0.98,0.9785788464404142,0.9790063759437853,0.979933110367893,0.9745762711864406,0.9705014749262537,0.9699498327759197,0.9589595375722544,0.96,0.9546218487394958,0.9454949944382648
8,2964,Miami-Dade County,County,FL,0.8662337662337662,0.8722992448223659,0.8679245283018868,0.8700938461538461,0.8780450431856702,0.8908124497014842,0.9193054136874361,0.9183673469387755,0.9181969949916527,0.9151410192973775,0.9180225281602002,0.9060402684563759,0.9145871441131005,0.9142857142857143,0.9045680687471732,0.9131427436966448,0.9065040558987634,0.9099099099099099,0.9098497495826378,0.9210526315789473,0.9280125195618153,0.9230769230769231,0.9259259259259259,0.9256449165402124,0.9327761773846521,0.9333333333333333,0.9319412219644239,0.9380692167577414,0.9402985074626866,0.9384864326611899,0.9460912525428655,0.945479641131815,0.9493670886075949,0.9580119303076582,0.9527896995708155,0.9498327759197325,0.954836754050592,0.9479553903345725,0.9438727291819804,0.9550561797752809,0.95,0.9512195121951219,0.9565217391304348,0.9585152838427947,0.9574468085106383,0.9554110447235713,0.9547738693467337,0.9529303245389789,0.9466567864641224,0.9482120051085569,0.9422492401215805,0.9384615384615385,0.9442196075871561,0.9486607142857143,0.9435742592942065,0.9446693657219973,0.9473684210526315,0.9447233310726576,0.9419002574364606,0.9437005968704629,0.9366025420817589,0.939017887660932,0.9384864326611899,0.9384615384615385,0.9501900380076015,0.95,0.9467667023937121,0.9454545454545454,0.9447614582646053,0.9439899307740718,0.9461752533181105,0.9437751004016064,0.9411764705882353,0.9390222974049693,0.9403761504601841,0.9411764705882353,0.9402609086819613,0.944,0.944206008583691,0.9428571428571428,0.9414225941422594,0.9397025388404698,0.9404897060069475,0.9433962264150944,0.9333333333333333,0.9351621739181548,0.9373311546840959,0.9380863039399625,0.9378930817610063,0.9393939393939394,0.9343434343434344,0.940105292220629,0.9384317824203654,0.9401571180862733,0.9352941176470588,0.9367088607594937,0.9333333333333333,0.9348914858096828,0.9384615384615385,0.9409008663230618,0.9354838709677419,0.9402985074626866,0.94,0.9445945945945946,0.9400458581325006,0.9386396405261924,0.94,0.9358732462506048,0.9354838709677419,0.9295519418946792,0.934978210437309
9,978,Dallas County,County,TX,0.9714438078740831,0.9565864102564102,0.9746835443037974,0.975045267489712,0.9815076923076923,0.9760533333333333,0.9681162790697675,0.9404413955877706,0.9735652325621995,0.9498540973415732,0.9493115094829826,0.934357156270959,0.9301728608470181,0.9442595508871585,0.9356096989966556,0.9453611836379461,0.9433893805309734,0.9494650205761317,0.9548202247191011,0.9499864682002707,0.940528,0.9371100989166274,0.9305831876456876,0.9346897708216881,0.9500800533689127,0.975609756097561,0.9613497111031799,0.9677242401779096,0.9686569131552214,0.964674112017845,0.9831647429423364,0.9759554393305439,0.985561403508772,0.9726969682755884,0.962432915921288,0.9697283018867925,0.9793210586881473,0.9770453207769276,0.9739922332186621,0.9729293993677556,0.975044161318134,0.9863574351978172,0.9780085576923077,0.9785820366562932,0.9757559909633056,0.9742097461727245,0.9700569259962049,0.9694888888888888,0.9699283154121864,0.9560894481605726,0.9660426384437416,0.9724174415181073,0.9745801136363637,0.977640574421017,0.9829539748953975,0.9727272727272728,0.9743589743589743,0.9634611872146118,0.9628897391304347,0.9667695898195816,0.9695096774193548,0.970613924050633,0.9774948852011821,0.9762580841223564,0.9833679817760677,0.9828,0.9828356378440061,0.9874514420247205,0.9811512414498706,0.966969696969697,0.9741877585947492,0.9667161410018553,0.9675954575378538,0.9744391790817877,0.9731543624161074,0.9845333788188406,0.9857980166744342,0.9862208548268239,0.9881411415029924,0.9891079616506878,0.981582124130318,0.9887737478411054,0.971754343804961,0.972972972972973,0.9809105193412002,0.9660377358490566,0.9807691568044492,0.9838582639230327,0.9885714285714285,0.9922928571428571,0.9916751515151515,0.9800262762762763,0.9874644597473299,0.98,0.9767288064501095,0.974968671679198,0.9705571250798776,0.9737656305823509,0.9760898099485056,0.9868726067208305,0.9839748305454821,0.9817073170731707,0.9763047106613023,0.9774669931178986,0.9735189429809936,0.9763581395348837,0.9738955823293173,0.9693522532042296,0.977985845410628,0.9773636720282464,0.9774194912164369
10,1347,Queens County,County,NY,0.9024390243902439,0.8999333999333999,0.9283518349390927,0.9095846116272612,0.9120616182506187,0.9370343839541547,0.9490333919156415,0.9437260852355192,0.8822463695623467,0.9385113268608414,0.9369202226345084,0.9378960709759189,0.9236947791164659,0.9116460462614309,0.920329434764714,0.9168241965973535,0.9230160340978284,0.9153880636550726,0.9201213346814965,0.9273570324574961,0.9273182957393483,0.9264705882352942,0.9271706689302045,0.9326937562485449,0.9207459207459208,0.9122085048010974,0.921701404156773,0.9142857142857143,0.9256199191997674,0.917686318131257,0.9353113544349102,0.9375,0.9123711340206185,0.9333333333333333,0.9318223696333149,0.9345794392523364,0.9100127942840524,0.9396820056059803,0.9273743016759777,0.9348914858096828,0.9390243902439024,0.9499136442141624,0.9498207885304659,0.9545743810418498,0.9523816170763982,0.9461521506925958,0.9497602166081549,0.9443897810731982,0.9355959216199097,0.9560307788044371,0.9492645468310621,0.9474900656881031,0.9498806225807532,0.9546061415220294,0.9583917718560074,0.9520173911388913,0.9523809523809523,0.9561178172508802,0.9570661896243292,0.9639904911124317,0.9537037037037037,0.9581754590498397,0.9574468085106383,0.955412064104133,0.9656494176618016,0.9657142857142857,0.9615384615384616,0.9786218453257503,0.9726002982298851,0.9642857142857143,0.9639627609059642,0.9645706137863832,0.9616615619659101,0.9619238476953907,0.967741935483871,0.9736867728599286,0.967741935483871,0.9659090909090909,0.972972972972973,0.9782196221045142,0.9662921348314607,0.9754080335032078,0.9699787545988181,0.9719438877755511,0.9738562091503268,0.9726315789473684,0.9671254883347329,0.97,0.9712219872299006,0.9717062811402434,0.9727290413255297,0.967479674796748,0.9663865546218487,0.970921379324909,0.9713701431492843,0.9640102827763496,0.9692513368983957,0.9614051954477113,0.9615384615384616,0.9615345209847097,0.9698558322411533,0.9703883785345635,0.97000194000388,0.9679489299610895,0.9693877551020408,0.956660385563125,0.9607843137254902,0.9576923076923077,0.9545454545454546,0.9518307963499582,0.9442622950819672
